Rank,Previous Rank,Artist Name,Periods on Chart,Views,Growth
1,1,Alka Yagnik,405,388734423,0.06%
2,2,Udit Narayan,426,294213610,0.08%
3,3,Arijit Singh,435,270931653,0.01%
4,4,Kumar Sanu,401,220822002,0.07%
5,5,Shreya Ghoshal,407,194505595,0.03%
6,6,Shilpi Raj,181,167202493,-0.09%
7,7,Bad Bunny,400,143920632,-0.05%
8,8,Khesari Lal Yadav,320,136378501,-0.02%
9,11,Lata Mangeshkar,418,125984431,0.05%
10,10,Taylor Swift,435,121050985,-0.04%
11,9,Eminem,435,113547882,-0.16%
12,15,Sonu Nigam,391,110965153,0.07%
13,14,The Weeknd,421,110796370,-0.02%
14,12,Anuel AA,318,110621581,-0.04%
15,13,Peso Pluma,82,110472996,-0.04%
16,16,Pawan Singh,338,94687769,-0.03%
17,17,KAROL G,353,94110976,-0.02%
18,19,Feid,147,85867451,-0.03%
19,34,Pritam,165,85702325,0.27%
20,21,Junior H,174,85168787,-0.02%
21,20,Billie Eilish,309,81591611,-0.07%
22,22,Carin Leon,176,81403328,-0.04%
23,23,Fuerza Regida,119,80952908,-0.03%
24,24,Shakira,435,79661823,-0.04%
25,25,Cris Mj,117,79537244,0%
26,18,Ariana Grande,435,78142142,-0.15%
27,29,Rauw Alejandro,251,73645584,0.03%
28,27,Natanael Cano,143,73434507,-0.01%
29,26,Maluma,435,72857997,-0.04%
30,28,Ozuna,406,71290135,-0.02%
31,30,Grupo Firme,198,69333426,-0.03%
32,32,Grupo Frontera,91,67956226,-0.03%
33,35,BTS,435,67362844,0%
34,31,Myke Towers,268,67242827,-0.05%
35,42,Anuradha Paudwal,361,65033514,0.07%
36,36,J Balvin,435,63613263,-0.04%
37,37,Romeo Santos,435,62659986,-0.01%
38,38,Daddy Yankee,435,62477186,0%
39,49,Neha Kakkar,402,62249499,0.08%
40,56,Ashish Yadav,35,61799570,0.14%
41,47,Jubin Nautiyal,267,61430567,0.05%
42,33,Sabrina Carpenter,22,61391463,-0.12%
43,39,Justin Bieber,435,61270724,-0.02%
44,43,Rihanna,435,59833991,-0.01%
45,45,Luis R Conriquez,145,59491332,0%
46,40,Maria Becerra,176,59281457,-0.05%
47,46,Ed Sheeran,435,58846467,0%
48,44,Sidhu Moose Wala,191,58530056,-0.03%
49,48,Sunidhi Chauhan,348,57910286,-0.01%
50,41,Kendrick Lamar,225,57528277,-0.07%
51,58,SP Balasubrahmanyam,232,57468913,0.09%
52,51,Chris Brown,417,56822899,-0.01%
53,64,Christian Nodal,252,56588615,0.13%
54,65,Khushi Kakkar,19,56336770,0.13%
55,53,Kavita Krishnamurthy,280,56000611,0%
56,57,Kishore Kumar,288,55838131,0.04%
57,52,Lady Gaga,318,55141686,-0.02%
58,50,Anirudh Ravichander,185,54895941,-0.04%
59,78,NewJeans,99,54659641,0.15%
60,55,Farruko,366,54542944,-0.01%
61,79,Himesh Reshammiya,258,54490935,0.17%
62,90,Sameer Anjaan,23,54302637,0.24%
63,91,Vicente Fernández,303,53790818,0.24%
64,54,aespa,100,52275860,-0.06%
65,97,Diljit Dosanjh,198,51798560,0.22%
66,60,B Praak,244,51272787,0.01%
67,80,Badshah,364,50222403,0.08%
68,61,Lana Del Rey,186,49798474,-0.02%
69,63,Coldplay,435,49532550,-0.01%
70,59,Future,359,49290064,-0.04%
71,67,Travis Scott,280,49264210,0%
72,62,BLACKPINK,357,49046564,-0.03%
73,71,David Guetta,422,48702661,0%
74,72,Los Temerarios,260,48294988,0%
75,74,Post Malone,379,47832348,-0.01%
76,87,Atif Aslam,332,46929011,0.06%
77,69,Dua Lipa,359,46754846,-0.05%
78,70,Aventura,304,46427879,-0.05%
79,68,MC Ryan SP,138,46022239,-0.06%
80,93,Los Ángeles Azules,319,45637461,0.06%
81,73,Neelkamal Singh,15,45499172,-0.06%
82,66,Henrique & Juliano,360,45364987,-0.08%
83,96,Sadhana Sargam,218,45041901,0.06%
84,76,Bruno Mars,435,44844032,-0.06%
85,75,Arcángel,252,44686356,-0.06%
86,82,Doja Cat,216,44416817,-0.03%
87,81,Linkin Park,433,44311104,-0.03%
88,86,Alan Walker,405,44071503,-0.01%
89,88,Maroon 5,433,44051144,0.01%
90,84,Imagine Dragons,409,43542410,-0.04%
91,83,Drake,412,43378569,-0.05%
92,95,Karan Aujla,139,43346218,0.02%
93,100,Asha Bhosle,236,43153149,0.05%
94,77,Shivani Singh,68,43042832,-0.09%
95,85,FloyyMenor,17,42580613,-0.05%
96,n/a,Michael Jackson,435,42074547,n/a
97,94,Don Omar,304,41748962,-0.03%
98,89,Metro Boomin,82,41676627,-0.05%
99,92,Nicki Nicole,139,41432377,-0.04%
100,99,Katy Perry,435,40986955,-0.01%
