Rank,Previous Rank,Artist Name,Periods on Chart,Views,Growth
1,1,Alka Yagnik,428,441942010,0%
2,2,Udit Narayan,449,326004608,-0.02%
3,3,Arijit Singh,458,265363575,0%
4,4,Kumar Sanu,424,260960456,0%
5,5,Bruno Mars,458,248902199,0.15%
6,6,Shilpi Raj,204,202083643,0.02%
7,7,Shreya Ghoshal,430,191196882,-0.01%
8,22,ROSÉ,14,159416709,0.53%
9,8,Khesari Lal Yadav,343,153482274,-0.04%
10,10,Sonu Nigam,414,150373370,0%
11,9,Pawan Singh,361,148693988,-0.05%
12,n/a,Kendrick Lamar,248,143712770,n/a
13,14,Bad Bunny,423,140339122,0.02%
14,12,Lata Mangeshkar,441,138910032,0.01%
15,11,Peso Pluma,105,137641345,-0.01%
16,13,KAROL G,376,134811305,-0.02%
17,15,Fuerza Regida,142,127559109,-0.04%
18,18,Lady Gaga,341,123515770,0.01%
19,19,Anuel AA,341,121512428,0.01%
20,16,Sachin-Jigar,162,120878131,-0.07%
21,20,The Weeknd,444,116207507,0%
22,21,Eminem,458,112492256,-0.01%
23,17,Rauw Alejandro,274,109553038,-0.11%
24,23,Tito Double P,24,106861436,0.07%
25,24,Billie Eilish,332,97502000,-0.02%
26,26,Taylor Swift,458,95790804,0.01%
27,29,Pritam,188,92441200,-0.01%
28,28,Feid,170,91324695,-0.02%
29,31,Shakira,458,89412702,0.01%
30,39,Maluma,458,89406331,0.18%
31,30,Yo Yo Honey Singh,342,88713475,-0.03%
32,27,Divya Kumar,27,87360179,-0.08%
33,37,Ariana Grande,458,86079329,0.12%
34,32,Anuradha Paudwal,384,82578406,-0.02%
35,35,Junior H,197,81935011,0%
36,38,Romeo Santos,458,81678745,0.07%
37,41,Shivani Singh,91,78616172,0.04%
38,33,Anirudh Ravichander,208,78535357,-0.06%
39,40,Ozuna,429,78491229,0.03%
40,25,Linkin Park,456,77877149,-0.2%
41,34,Óscar Maydon,60,77021588,-0.07%
42,36,Sunidhi Chauhan,371,76968454,-0.03%
43,42,Natanael Cano,166,73441562,-0.02%
44,47,Diljit Dosanjh,221,71614572,0.05%
45,43,Ashish Yadav,58,71550810,-0.01%
46,44,Myke Towers,291,70781364,0%
47,48,Justin Bieber,458,70462941,0.03%
48,46,Neha Kakkar,425,70207368,0%
49,45,Cris Mj,140,69500558,-0.01%
50,49,Carin Leon,199,69249026,0.02%
51,50,J Balvin,458,68467497,0.02%
52,52,Grupo Firme,221,66655073,0.02%
53,59,Daddy Yankee,458,66279474,0.06%
54,51,Luis R Conriquez,168,66108189,0%
55,55,SP Balasubrahmanyam,255,64514531,0.01%
56,60,Masoom Sharma,109,64339641,0.04%
57,53,Jubin Nautiyal,290,64024504,-0.02%
58,62,Grupo Frontera,114,63648414,0.04%
59,54,Henrique & Juliano,383,62811838,-0.03%
60,56,Karan Aujla,162,62765958,-0.01%
61,57,Kavita Krishnamurthy,303,62681666,-0.01%
62,58,Shilpa Rao,99,60810513,-0.04%
63,67,Ed Sheeran,458,60515228,0.03%
64,65,Farruko,389,60131507,0.01%
65,66,Atif Aslam,355,59621251,0.02%
66,64,Kishore Kumar,311,59550197,0%
67,68,Rihanna,458,59363969,0.02%
68,63,Sameer Anjaan,46,59363733,-0.02%
69,61,Himesh Reshammiya,281,59197864,-0.04%
70,71,Blessd,161,58643648,0.03%
71,70,Sabrina Carpenter,45,58589182,0.01%
72,69,Julión Álvarez y su Norteño Banda,54,57196724,-0.02%
73,75,BTS,458,57096349,0.03%
74,74,Chris Brown,440,56783335,0.03%
75,78,Badshah,387,55166267,0.04%
76,90,Mariah Carey,232,54905969,0.13%
77,72,MC Ryan SP,161,54165575,-0.04%
78,76,Coldplay,458,53380819,-0.03%
79,77,Maria Becerra,199,53239570,-0.02%
80,85,A. R. Rahman,206,52642944,0.06%
81,88,Don Omar,327,52397419,0.07%
82,79,Asha Bhosle,259,51990836,0.01%
83,86,Sia,443,51908701,0.05%
84,73,Madhubanti Bagchi,18,51838475,-0.08%
85,87,KK,177,51065803,0.03%
86,80,Sadhana Sargam,241,50808831,0%
87,84,Neelkamal Singh,38,50604010,0.02%
88,81,Michael Jackson,458,49891024,-0.01%
89,83,Stray Kids,201,49391624,-0.02%
90,93,Maroon 5,456,48750394,0.01%
91,100,Vicente Fernández,326,48744992,0.05%
92,92,Los Temerarios,283,48731908,0.01%
93,91,Aventura,327,48272086,0%
94,89,David Guetta,445,47714626,-0.02%
95,n/a,BLACKPINK,380,47567327,n/a
96,n/a,Imagine Dragons,432,47396141,n/a
97,96,Travis Scott,303,47395518,0%
98,99,Future,382,47312725,0.01%
99,94,B Praak,267,47308760,-0.01%
100,n/a,Javed Ali,168,47142883,n/a
