Rank,Previous Rank,Artist Name,Periods on Chart,Views,Growth
1,1,Alka Yagnik,418,381572734,-0.02%
2,2,Udit Narayan,439,282713177,-0.01%
3,3,Arijit Singh,448,245262542,-0.01%
4,4,Kumar Sanu,414,225857473,-0.01%
5,5,Shilpi Raj,194,163008860,-0.04%
6,6,Shreya Ghoshal,420,157238390,-0.01%
7,7,Pawan Singh,351,149019005,-0.02%
8,8,Peso Pluma,95,148856665,0%
9,10,KAROL G,366,139415546,-0.04%
10,11,Bad Bunny,413,138639595,-0.01%
11,9,Sachin-Jigar,152,137291282,-0.07%
12,15,The Weeknd,434,128788984,0.12%
13,13,Lata Mangeshkar,431,125511407,0%
14,12,Khesari Lal Yadav,333,124102302,-0.05%
15,16,Sonu Nigam,404,112611601,-0.01%
16,17,Anuel AA,331,110592636,-0.02%
17,18,Taylor Swift,448,103047349,-0.01%
18,22,Bruno Mars,448,101876606,0.11%
19,21,Lady Gaga,331,101404624,0.09%
20,14,Linkin Park,446,100218270,-0.17%
21,19,Eminem,448,99966778,0.03%
22,24,Feid,160,91794312,0.02%
23,25,Fuerza Regida,132,90300654,0.03%
24,23,Billie Eilish,322,89927981,-0.01%
25,34,Cris Mj,130,85681260,0.17%
26,20,Yo Yo Honey Singh,332,85062662,-0.09%
27,26,Junior H,187,84854187,0%
28,27,Pritam,178,82054568,-0.01%
29,30,Sabrina Carpenter,35,79202114,0.03%
30,28,Carin Leon,189,77243101,-0.05%
31,29,Ozuna,419,75721320,-0.02%
32,41,Anirudh Ravichander,198,75557044,0.11%
33,31,Shakira,448,74276691,-0.01%
34,33,Rauw Alejandro,264,74252295,0.01%
35,32,Romeo Santos,448,72446192,-0.02%
36,35,Ariana Grande,448,71605609,-0.01%
37,37,Natanael Cano,156,70369949,-0.02%
38,36,J Balvin,448,69733116,-0.03%
39,39,Anuradha Paudwal,374,69277036,-0.01%
40,38,Myke Towers,281,68771140,-0.03%
41,40,Maluma,448,66820850,-0.04%
42,46,Grupo Firme,211,65728767,0.05%
43,53,Maria Becerra,189,65291955,0.11%
44,43,Divya Kumar,17,65106571,-0.03%
45,45,Daddy Yankee,448,63269602,0%
46,44,Neha Kakkar,415,62764338,-0.04%
47,49,Jubin Nautiyal,280,62163338,0.02%
48,47,Grupo Frontera,104,62021493,0.01%
49,42,Ashish Yadav,48,61685136,-0.08%
50,68,Tito Double P,14,61303726,0.13%
51,48,Justin Bieber,448,61050250,-0.01%
52,50,SP Balasubrahmanyam,245,60292107,-0.01%
53,54,Rihanna,448,58760928,0%
54,55,Farruko,379,57753097,-0.02%
55,58,Ed Sheeran,448,57657242,0%
56,60,Shivani Singh,81,57574011,0.02%
57,56,Himesh Reshammiya,271,57254294,-0.02%
58,72,Luis R Conriquez,158,56879718,0.06%
59,51,Sunidhi Chauhan,361,56620763,-0.05%
60,61,Chris Brown,430,56537227,0%
61,62,Karan Aujla,152,56336571,0.01%
62,63,BTS,448,55963484,0%
63,66,Atif Aslam,345,55725846,0.02%
64,52,Sameer Anjaan,36,55714307,-0.05%
65,57,Amitabh Bhattacharya,71,55573356,-0.05%
66,59,Kavita Krishnamurthy,293,55344385,-0.02%
67,75,Travis Scott,293,55265355,0.05%
68,65,Madhubanti Bagchi,8,54199496,-0.01%
69,84,Vicente Fernández,316,53664363,0.11%
70,70,Coldplay,448,53606621,-0.01%
71,64,Post Malone,392,53603157,-0.02%
72,67,Kishore Kumar,301,53462363,-0.02%
73,71,Henrique & Juliano,373,52641907,-0.03%
74,74,Adele,351,50880977,-0.05%
75,69,Shilpa Rao,89,50439928,-0.07%
76,76,Kendrick Lamar,238,49843958,-0.02%
77,n/a,FloyyMenor,30,49459282,n/a
78,86,Don Omar,317,48856458,0.03%
79,95,Diljit Dosanjh,211,48593844,0.09%
80,77,Lana Del Rey,199,48567345,-0.02%
81,73,MC Ryan SP,151,48386625,-0.09%
82,82,Stray Kids,191,48199485,-0.01%
83,85,Maroon 5,446,48051326,0%
84,80,Aventura,317,48019736,-0.01%
85,96,Arcángel,265,47767282,0.08%
86,78,Blessd,151,47636613,-0.04%
87,87,Los Temerarios,273,47613158,0%
88,79,BLACKPINK,370,47329527,-0.03%
89,81,David Guetta,435,47114003,-0.03%
90,n/a,Julión Álvarez y su Norteño Banda,44,46809431,n/a
91,83,Sidhu Moose Wala,204,46620040,-0.04%
92,88,Asha Bhosle,249,46617824,0%
93,92,Imagine Dragons,422,46421433,0.02%
94,n/a,Katy Perry,448,46231269,n/a
95,90,A. R. Rahman,196,45247867,-0.01%
96,89,Doja Cat,229,44902125,-0.02%
97,93,Michael Jackson,448,44792742,-0.01%
98,94,Los Ángeles Azules,332,44787913,0%
99,n/a,Future,372,44081251,n/a
100,97,Alan Walker,418,44039346,0%
